id,biller,description,amount,purchaseDate,dueDate,paid,paidDate,frequency
1749931522118.8582,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2025-06-15",true,"2025-06-14T20:06:48.694Z","lifetime"
1749931522118.6091,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2025-07-15",false,"","lifetime"
1749931522118.5,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2025-08-15",false,"","lifetime"
1749931522118.486,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2025-09-15",false,"","lifetime"
1749931522118.4534,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2025-10-15",false,"","lifetime"
1749931522118.5603,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2025-11-15",false,"","lifetime"
1749931522118.8384,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2025-12-15",false,"","lifetime"
1749931522118.3032,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-01-15",false,"","lifetime"
1749931522118.7192,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-02-15",false,"","lifetime"
1749931522118.763,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-03-15",false,"","lifetime"
1749931522118.188,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-04-15",false,"","lifetime"
1749931522118.874,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-05-15",false,"","lifetime"
1749931522118.7366,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-06-15",false,"","lifetime"
1749931522118.2832,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-07-15",false,"","lifetime"
1749931522118.4155,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-08-15",false,"","lifetime"
1749931522118.6626,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-09-15",false,"","lifetime"
1749931522118.448,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-10-15",false,"","lifetime"
1749931522118.3992,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-11-15",false,"","lifetime"
1749931522118.0532,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2026-12-15",false,"","lifetime"
1749931522118.7573,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-01-15",false,"","lifetime"
1749931522118.0022,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-02-15",false,"","lifetime"
1749931522118.616,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-03-15",false,"","lifetime"
1749931522118.8738,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-04-15",false,"","lifetime"
1749931522118.908,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-05-15",false,"","lifetime"
1749931522118.0842,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-06-15",false,"","lifetime"
1749931522118.6738,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-07-15",false,"","lifetime"
1749931522118.723,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-08-15",false,"","lifetime"
1749931522118.9639,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-09-15",false,"","lifetime"
1749931522118.0022,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-10-15",false,"","lifetime"
1749931522118.9114,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-11-15",false,"","lifetime"
1749931522118.5159,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2027-12-15",false,"","lifetime"
1749931522118.5408,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-01-15",false,"","lifetime"
